,Dataset,Repetition,ADAPT,ADMIC-Basic,ADMIC
98,Zeller G(2014),98,0.795755968169761,0.793103448275862,0.453580901856764
99,Zeller G(2014),99,0.688328912466843,0.730769230769231,0.704244031830239
100,Zeller G(2014),100,0.76525198938992,0.63395225464191,0.643236074270557
101,Feng Q(2015),1,0.763736263736264,0.648351648351648,0.730769230769231
102,Feng Q(2015),2,0.708791208791209,0.692307692307692,0.67032967032967
103,Feng Q(2015),3,0.752747252747253,0.494505494505494,0.736263736263736
104,Feng Q(2015),4,0.648351648351648,0.576923076923077,0.527472527472527
105,Feng Q(2015),5,0.807692307692308,0.593406593406593,0.703296703296703
106,Feng Q(2015),6,0.549450549450549,0.71978021978022,0.71978021978022
107,Feng Q(2015),7,0.714285714285714,0.505494505494505,0.725274725274725
108,Feng Q(2015),8,0.681318681318681,0.445054945054945,0.598901098901099
109,Feng Q(2015),9,0.82967032967033,0.593406593406593,0.626373626373626
110,Feng Q(2015),10,0.796703296703297,0.78021978021978,0.565934065934066
111,Feng Q(2015),11,0.835164835164835,0.752747252747253,0.67032967032967
112,Feng Q(2015),12,0.725274725274725,0.571428571428571,0.675824175824176
113,Feng Q(2015),13,0.714285714285714,0.631868131868132,0.637362637362637
114,Feng Q(2015),14,0.901098901098901,0.67032967032967,0.527472527472527
115,Feng Q(2015),15,0.758241758241758,0.769230769230769,0.653846153846154
116,Feng Q(2015),16,0.71978021978022,0.824175824175824,0.56043956043956
117,Feng Q(2015),17,0.774725274725275,0.659340659340659,0.681318681318681
118,Feng Q(2015),18,0.879120879120879,0.587912087912088,0.67032967032967
119,Feng Q(2015),19,0.708791208791209,0.615384615384615,0.67032967032967
120,Feng Q(2015),20,0.71978021978022,0.648351648351648,0.692307692307692
121,Feng Q(2015),21,0.736263736263736,0.604395604395604,0.631868131868132
122,Feng Q(2015),22,0.71978021978022,0.703296703296703,0.774725274725275
123,Feng Q(2015),23,0.692307692307692,0.703296703296703,0.714285714285714
124,Feng Q(2015),24,0.818681318681319,0.758241758241758,0.659340659340659
125,Feng Q(2015),25,0.78021978021978,0.576923076923077,0.582417582417582
126,Feng Q(2015),26,0.554945054945055,0.510989010989011,0.741758241758242
127,Feng Q(2015),27,0.461538461538462,0.725274725274725,0.835164835164835
128,Feng Q(2015),28,0.835164835164835,0.703296703296703,0.593406593406593
129,Feng Q(2015),29,0.67032967032967,0.807692307692308,0.483516483516484
130,Feng Q(2015),30,0.857142857142857,0.758241758241758,0.802197802197802
131,Feng Q(2015),31,0.769230769230769,0.483516483516484,0.741758241758242
132,Feng Q(2015),32,0.642857142857143,0.626373626373626,0.769230769230769
133,Feng Q(2015),33,0.769230769230769,0.401098901098901,0.510989010989011
134,Feng Q(2015),34,0.78021978021978,0.868131868131868,0.604395604395604
135,Feng Q(2015),35,0.879120879120879,0.615384615384615,0.71978021978022
136,Feng Q(2015),36,0.71978021978022,0.56043956043956,0.631868131868132
137,Feng Q(2015),37,0.89010989010989,0.675824175824176,0.791208791208791
138,Feng Q(2015),38,0.598901098901099,0.703296703296703,0.697802197802198
139,Feng Q(2015),39,0.774725274725275,0.813186813186813,0.505494505494505
140,Feng Q(2015),40,0.796703296703297,0.664835164835165,0.527472527472527
141,Feng Q(2015),41,0.681318681318681,0.642857142857143,0.637362637362637
142,Feng Q(2015),42,0.928571428571429,0.516483516483516,0.527472527472527
143,Feng Q(2015),43,0.642857142857143,0.714285714285714,0.576923076923077
144,Feng Q(2015),44,0.802197802197802,0.582417582417582,0.472527472527473
145,Feng Q(2015),45,0.659340659340659,0.637362637362637,0.725274725274725
146,Feng Q(2015),46,0.741758241758242,0.494505494505495,0.615384615384615
147,Feng Q(2015),47,0.912087912087912,0.752747252747253,0.483516483516484
148,Feng Q(2015),48,0.736263736263736,0.538461538461538,0.791208791208791
149,Feng Q(2015),49,0.67032967032967,0.631868131868132,0.587912087912088
150,Feng Q(2015),50,0.67032967032967,0.659340659340659,0.626373626373626
151,Feng Q(2015),51,0.615384615384615,0.747252747252747,0.538461538461538
152,Feng Q(2015),52,0.615384615384615,0.692307692307692,0.582417582417582
153,Feng Q(2015),53,0.71978021978022,0.642857142857143,0.642857142857143
154,Feng Q(2015),54,0.807692307692308,0.703296703296703,0.538461538461538
155,Feng Q(2015),55,0.928571428571429,0.571428571428571,0.67032967032967
156,Feng Q(2015),56,0.791208791208791,0.862637362637363,0.582417582417582
157,Feng Q(2015),57,0.582417582417582,0.67032967032967,0.692307692307692
158,Feng Q(2015),58,0.835164835164835,0.593406593406593,0.708791208791209
159,Feng Q(2015),59,0.802197802197802,0.879120879120879,0.565934065934066
160,Feng Q(2015),60,0.884615384615385,0.664835164835165,0.56043956043956
161,Feng Q(2015),61,0.774725274725275,0.785714285714286,0.659340659340659
162,Feng Q(2015),62,0.730769230769231,0.648351648351648,0.802197802197802
163,Feng Q(2015),63,0.725274725274725,0.714285714285714,0.736263736263736
164,Feng Q(2015),64,0.692307692307692,0.43956043956044,0.593406593406593
165,Feng Q(2015),65,0.818681318681319,0.747252747252747,0.664835164835165
166,Feng Q(2015),66,0.56043956043956,0.785714285714286,0.56043956043956
167,Feng Q(2015),67,0.538461538461538,0.527472527472527,0.582417582417582
168,Feng Q(2015),68,0.747252747252747,0.373626373626374,0.648351648351648
169,Feng Q(2015),69,0.884615384615385,0.818681318681319,0.505494505494505
170,Feng Q(2015),70,0.637362637362637,0.648351648351648,0.758241758241758
171,Feng Q(2015),71,0.791208791208791,0.615384615384615,0.703296703296703
172,Feng Q(2015),72,0.824175824175824,0.901098901098901,0.571428571428571
173,Feng Q(2015),73,0.516483516483516,0.615384615384615,0.659340659340659
174,Feng Q(2015),74,0.736263736263736,0.659340659340659,0.802197802197802
175,Feng Q(2015),75,0.901098901098901,0.78021978021978,0.637362637362637
176,Feng Q(2015),76,0.686813186813187,0.43956043956044,0.912087912087912
177,Feng Q(2015),77,0.78021978021978,0.714285714285714,0.89010989010989
178,Feng Q(2015),78,0.840659340659341,0.653846153846154,0.648351648351648
179,Feng Q(2015),79,0.736263736263736,0.5,0.642857142857143
180,Feng Q(2015),80,0.571428571428571,0.697802197802198,0.549450549450549
181,Feng Q(2015),81,0.681318681318681,0.538461538461538,0.60989010989011
182,Feng Q(2015),82,0.945054945054945,0.56043956043956,0.648351648351648
183,Feng Q(2015),83,0.868131868131868,0.791208791208791,0.472527472527473
184,Feng Q(2015),84,0.813186813186813,0.571428571428571,0.631868131868132
185,Feng Q(2015),85,0.615384615384615,0.587912087912088,0.769230769230769
186,Feng Q(2015),86,0.648351648351648,0.67032967032967,0.824175824175824
187,Feng Q(2015),87,0.692307692307692,0.67032967032967,0.71978021978022
188,Feng Q(2015),88,0.774725274725275,0.516483516483517,0.505494505494505
189,Feng Q(2015),89,0.637362637362637,0.747252747252747,0.774725274725275
190,Feng Q(2015),90,0.879120879120879,0.527472527472527,0.681318681318681
191,Feng Q(2015),91,0.587912087912088,0.747252747252747,0.67032967032967
192,Feng Q(2015),92,0.730769230769231,0.615384615384615,0.571428571428571
193,Feng Q(2015),93,0.846153846153846,0.489010989010989,0.620879120879121
194,Feng Q(2015),94,0.615384615384615,0.648351648351648,0.681318681318681
195,Feng Q(2015),95,0.620879120879121,0.582417582417582,0.78021978021978
196,Feng Q(2015),96,0.824175824175824,0.67032967032967,0.604395604395604
197,Feng Q(2015),97,0.730769230769231,0.626373626373626,0.642857142857143
198,Feng Q(2015),98,0.664835164835165,0.549450549450549,0.736263736263736
199,Feng Q(2015),99,0.467032967032967,0.736263736263736,0.637362637362637
200,Feng Q(2015),100,0.686813186813187,0.631868131868132,0.604395604395604
201,Vogtmann E(2016),1,0.533333333333333,0.577777777777778,0.82962962962963
202,Vogtmann E(2016),2,0.540740740740741,0.851851851851852,0.688888888888889
203,Vogtmann E(2016),3,0.622222222222222,0.818518518518519,0.740740740740741
204,Vogtmann E(2016),4,0.537037037037037,0.603703703703704,0.474074074074074
205,Vogtmann E(2016),5,0.614814814814815,0.622222222222222,0.722222222222222
206,Vogtmann E(2016),6,0.622222222222222,0.562962962962963,0.651851851851852
207,Vogtmann E(2016),7,0.759259259259259,0.766666666666667,0.814814814814815
208,Vogtmann E(2016),8,0.681481481481481,0.62962962962963,0.585185185185185
209,Vogtmann E(2016),9,0.511111111111111,0.585185185185185,0.855555555555556
210,Vogtmann E(2016),10,0.666666666666667,0.607407407407407,0.711111111111111
211,Vogtmann E(2016),11,0.533333333333333,0.688888888888889,0.740740740740741
212,Vogtmann E(2016),12,0.681481481481481,0.622222222222222,0.522222222222222
213,Vogtmann E(2016),13,0.777777777777778,0.718518518518519,0.648148148148148
214,Vogtmann E(2016),14,0.585185185185185,0.577777777777778,0.755555555555556
215,Vogtmann E(2016),15,0.648148148148148,0.762962962962963,0.688888888888889
216,Vogtmann E(2016),16,0.655555555555556,0.762962962962963,0.740740740740741
217,Vogtmann E(2016),17,0.814814814814815,0.596296296296296,0.711111111111111
218,Vogtmann E(2016),18,0.72962962962963,0.577777777777778,0.455555555555556
219,Vogtmann E(2016),19,0.681481481481481,0.792592592592593,0.744444444444444
220,Vogtmann E(2016),20,0.703703703703704,0.540740740740741,0.507407407407407
221,Vogtmann E(2016),21,0.548148148148148,0.718518518518519,0.62962962962963
222,Vogtmann E(2016),22,0.525925925925926,0.57037037037037,0.651851851851852
223,Vogtmann E(2016),23,0.874074074074074,0.622222222222222,0.451851851851852
224,Vogtmann E(2016),24,0.607407407407407,0.781481481481481,0.340740740740741
225,Vogtmann E(2016),25,0.688888888888889,0.614814814814815,0.52962962962963
226,Vogtmann E(2016),26,0.711111111111111,0.755555555555556,0.740740740740741
227,Vogtmann E(2016),27,0.5,0.82962962962963,0.688888888888889
228,Vogtmann E(2016),28,0.674074074074074,0.648148148148148,0.711111111111111
229,Vogtmann E(2016),29,0.585185185185185,0.696296296296296,0.77037037037037
230,Vogtmann E(2016),30,0.437037037037037,0.62962962962963,0.692592592592593
231,Vogtmann E(2016),31,0.562962962962963,0.748148148148148,0.733333333333333
232,Vogtmann E(2016),32,0.492592592592593,0.614814814814815,0.666666666666667
233,Vogtmann E(2016),33,0.622222222222222,0.711111111111111,0.814814814814815
234,Vogtmann E(2016),34,0.637037037037037,0.781481481481481,0.662962962962963
235,Vogtmann E(2016),35,0.351851851851852,0.703703703703704,0.788888888888889
236,Vogtmann E(2016),36,0.666666666666667,0.67037037037037,0.837037037037037
